1685931463.705191 client started (14241): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1685931463.705259 on Darwin 22.4.0 Darwin Kernel Version 22.4.0: Mon Mar  6 20:59:28 PST 2023; root:xnu-8796.101.5~3/RELEASE_ARM64_T6000
1685931463.705524 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.3
1685931463.705559 flags are 0x10010000
1685931463.705569 socket is /private/tmp/tmux-501/default
1685931463.705588 trying connect
1685931463.705671 add peer 0x148048000: 6 (0x0)
1685931463.712077 sending message 100 to peer 0x148048000 (4 bytes)
1685931463.712090 sending message 111 to peer 0x148048000 (8 bytes)
1685931463.712097 sending message 101 to peer 0x148048000 (16 bytes)
1685931463.712103 sending message 109 to peer 0x148048000 (4 bytes)
1685931463.712109 sending message 102 to peer 0x148048000 (13 bytes)
1685931463.712115 sending message 108 to peer 0x148048000 (28 bytes)
1685931463.712121 sending message 112 to peer 0x148048000 (70 bytes)
1685931463.712126 sending message 112 to peer 0x148048000 (5 bytes)
1685931463.712132 sending message 112 to peer 0x148048000 (5 bytes)
1685931463.712137 sending message 112 to peer 0x148048000 (6 bytes)
1685931463.712143 sending message 112 to peer 0x148048000 (6 bytes)
1685931463.712148 sending message 112 to peer 0x148048000 (11 bytes)
1685931463.712154 sending message 112 to peer 0x148048000 (10 bytes)
1685931463.712160 sending message 112 to peer 0x148048000 (13 bytes)
1685931463.712165 sending message 112 to peer 0x148048000 (13 bytes)
1685931463.712170 sending message 112 to peer 0x148048000 (18 bytes)
1685931463.712176 sending message 112 to peer 0x148048000 (11 bytes)
1685931463.712182 sending message 112 to peer 0x148048000 (21 bytes)
1685931463.712188 sending message 112 to peer 0x148048000 (13 bytes)
1685931463.712193 sending message 112 to peer 0x148048000 (7 bytes)
1685931463.712198 sending message 112 to peer 0x148048000 (13 bytes)
1685931463.712203 sending message 112 to peer 0x148048000 (7 bytes)
1685931463.712209 sending message 112 to peer 0x148048000 (13 bytes)
1685931463.712214 sending message 112 to peer 0x148048000 (9 bytes)
1685931463.712219 sending message 112 to peer 0x148048000 (21 bytes)
1685931463.712224 sending message 112 to peer 0x148048000 (13 bytes)
1685931463.712230 sending message 112 to peer 0x148048000 (8 bytes)
1685931463.712235 sending message 112 to peer 0x148048000 (12 bytes)
1685931463.712240 sending message 112 to peer 0x148048000 (13 bytes)
1685931463.712245 sending message 112 to peer 0x148048000 (9 bytes)
1685931463.712251 sending message 112 to peer 0x148048000 (9 bytes)
1685931463.712256 sending message 112 to peer 0x148048000 (12 bytes)
1685931463.712261 sending message 112 to peer 0x148048000 (8 bytes)
1685931463.712266 sending message 112 to peer 0x148048000 (7 bytes)
1685931463.712272 sending message 112 to peer 0x148048000 (7 bytes)
1685931463.712277 sending message 112 to peer 0x148048000 (9 bytes)
1685931463.712283 sending message 112 to peer 0x148048000 (13 bytes)
1685931463.712288 sending message 112 to peer 0x148048000 (9 bytes)
1685931463.712293 sending message 112 to peer 0x148048000 (15 bytes)
1685931463.712299 sending message 112 to peer 0x148048000 (13 bytes)
1685931463.712304 sending message 112 to peer 0x148048000 (12 bytes)
1685931463.712309 sending message 112 to peer 0x148048000 (8 bytes)
1685931463.712315 sending message 112 to peer 0x148048000 (14 bytes)
1685931463.712320 sending message 112 to peer 0x148048000 (9 bytes)
1685931463.712325 sending message 112 to peer 0x148048000 (10 bytes)
1685931463.712330 sending message 112 to peer 0x148048000 (10 bytes)
1685931463.712336 sending message 112 to peer 0x148048000 (10 bytes)
1685931463.712341 sending message 112 to peer 0x148048000 (10 bytes)
1685931463.712346 sending message 112 to peer 0x148048000 (11 bytes)
1685931463.712351 sending message 112 to peer 0x148048000 (10 bytes)
1685931463.712357 sending message 112 to peer 0x148048000 (8 bytes)
1685931463.712362 sending message 112 to peer 0x148048000 (11 bytes)
1685931463.712367 sending message 112 to peer 0x148048000 (11 bytes)
1685931463.712385 sending message 112 to peer 0x148048000 (11 bytes)
1685931463.712389 sending message 112 to peer 0x148048000 (8 bytes)
1685931463.712393 sending message 112 to peer 0x148048000 (8 bytes)
1685931463.712397 sending message 112 to peer 0x148048000 (8 bytes)
1685931463.712400 sending message 112 to peer 0x148048000 (10 bytes)
1685931463.712404 sending message 112 to peer 0x148048000 (10 bytes)
1685931463.712408 sending message 112 to peer 0x148048000 (10 bytes)
1685931463.712411 sending message 112 to peer 0x148048000 (10 bytes)
1685931463.712415 sending message 112 to peer 0x148048000 (10 bytes)
1685931463.712419 sending message 112 to peer 0x148048000 (11 bytes)
1685931463.712422 sending message 112 to peer 0x148048000 (11 bytes)
1685931463.712426 sending message 112 to peer 0x148048000 (10 bytes)
1685931463.712430 sending message 112 to peer 0x148048000 (9 bytes)
1685931463.712433 sending message 112 to peer 0x148048000 (9 bytes)
1685931463.712437 sending message 112 to peer 0x148048000 (12 bytes)
1685931463.712441 sending message 112 to peer 0x148048000 (9 bytes)
1685931463.712444 sending message 112 to peer 0x148048000 (6 bytes)
1685931463.712448 sending message 112 to peer 0x148048000 (13 bytes)
1685931463.712451 sending message 112 to peer 0x148048000 (8 bytes)
1685931463.712455 sending message 112 to peer 0x148048000 (15 bytes)
1685931463.712459 sending message 112 to peer 0x148048000 (13 bytes)
1685931463.712462 sending message 112 to peer 0x148048000 (70 bytes)
1685931463.712466 sending message 112 to peer 0x148048000 (69 bytes)
1685931463.712470 sending message 112 to peer 0x148048000 (10 bytes)
1685931463.712473 sending message 112 to peer 0x148048000 (8 bytes)
1685931463.712477 sending message 112 to peer 0x148048000 (15 bytes)
1685931463.712480 sending message 112 to peer 0x148048000 (13 bytes)
1685931463.712484 sending message 112 to peer 0x148048000 (10 bytes)
1685931463.712488 sending message 112 to peer 0x148048000 (10 bytes)
1685931463.712491 sending message 112 to peer 0x148048000 (5 bytes)
1685931463.712495 sending message 112 to peer 0x148048000 (15 bytes)
1685931463.712500 sending message 104 to peer 0x148048000 (0 bytes)
1685931463.712505 sending message 110 to peer 0x148048000 (0 bytes)
1685931463.712509 sending message 107 to peer 0x148048000 (4 bytes)
1685931463.712513 sending message 105 to peer 0x148048000 (83 bytes)
1685931463.712516 sending message 105 to peer 0x148048000 (87 bytes)
1685931463.712520 sending message 105 to peer 0x148048000 (31 bytes)
1685931463.712524 sending message 105 to peer 0x148048000 (52 bytes)
1685931463.712527 sending message 105 to peer 0x148048000 (26 bytes)
1685931463.712531 sending message 105 to peer 0x148048000 (20 bytes)
1685931463.712535 sending message 105 to peer 0x148048000 (22 bytes)
1685931463.712538 sending message 105 to peer 0x148048000 (12 bytes)
1685931463.712542 sending message 105 to peer 0x148048000 (24 bytes)
1685931463.712545 sending message 105 to peer 0x148048000 (37 bytes)
1685931463.712549 sending message 105 to peer 0x148048000 (30 bytes)
1685931463.712553 sending message 105 to peer 0x148048000 (34 bytes)
1685931463.712556 sending message 105 to peer 0x148048000 (60 bytes)
1685931463.712560 sending message 105 to peer 0x148048000 (19 bytes)
1685931463.712564 sending message 105 to peer 0x148048000 (8 bytes)
1685931463.712567 sending message 105 to peer 0x148048000 (20 bytes)
1685931463.712571 sending message 105 to peer 0x148048000 (32 bytes)
1685931463.712574 sending message 105 to peer 0x148048000 (54 bytes)
1685931463.712578 sending message 105 to peer 0x148048000 (94 bytes)
1685931463.712582 sending message 105 to peer 0x148048000 (35 bytes)
1685931463.712585 sending message 105 to peer 0x148048000 (11 bytes)
1685931463.712589 sending message 105 to peer 0x148048000 (1283 bytes)
1685931463.712594 sending message 105 to peer 0x148048000 (32 bytes)
1685931463.712598 sending message 105 to peer 0x148048000 (24 bytes)
1685931463.712601 sending message 105 to peer 0x148048000 (15 bytes)
1685931463.712613 sending message 105 to peer 0x148048000 (8 bytes)
1685931463.712617 sending message 105 to peer 0x148048000 (66 bytes)
1685931463.712620 sending message 105 to peer 0x148048000 (21 bytes)
1685931463.712624 sending message 105 to peer 0x148048000 (18 bytes)
1685931463.712628 sending message 105 to peer 0x148048000 (26 bytes)
1685931463.712631 sending message 105 to peer 0x148048000 (57 bytes)
1685931463.712635 sending message 105 to peer 0x148048000 (43 bytes)
1685931463.712639 sending message 105 to peer 0x148048000 (13 bytes)
1685931463.712642 sending message 105 to peer 0x148048000 (17 bytes)
1685931463.712646 sending message 105 to peer 0x148048000 (20 bytes)
1685931463.712650 sending message 105 to peer 0x148048000 (14 bytes)
1685931463.712653 sending message 105 to peer 0x148048000 (19 bytes)
1685931463.712657 sending message 105 to peer 0x148048000 (34 bytes)
1685931463.712661 sending message 105 to peer 0x148048000 (35 bytes)
1685931463.712665 sending message 105 to peer 0x148048000 (32 bytes)
1685931463.712668 sending message 105 to peer 0x148048000 (48 bytes)
1685931463.712672 sending message 105 to peer 0x148048000 (9 bytes)
1685931463.712676 sending message 105 to peer 0x148048000 (17 bytes)
1685931463.712680 sending message 105 to peer 0x148048000 (19 bytes)
1685931463.712684 sending message 105 to peer 0x148048000 (67 bytes)
1685931463.712688 sending message 105 to peer 0x148048000 (44 bytes)
1685931463.712692 sending message 105 to peer 0x148048000 (102 bytes)
1685931463.712696 sending message 105 to peer 0x148048000 (25 bytes)
1685931463.712700 sending message 106 to peer 0x148048000 (0 bytes)
1685931463.712755 sending message 200 to peer 0x148048000 (4 bytes)
1685931463.712761 client loop enter
1685931463.713566 peer 0x148048000 message 303
1685931463.713577 open write file 2 -
1685931463.713597 sending message 305 to peer 0x148048000 (8 bytes)
1685931463.713613 write check file 2
1685931463.713645 peer 0x148048000 message 304
1685931463.713651 write 58 to file 2
1685931463.713658 peer 0x148048000 message 203
1685931463.713662 file 2 58 bytes left
1685931463.713673 write check file 2
1685931463.713678 client loop exit
